Name,Angka Kelulusan ,Produk Baru,Pengeluaran,Pendapatan
Anhui,30.8,19920,4432081,73210508
Beijing,15.53,10304,3226374,40858562
Chongqing,18.99,9243,3025777,50143454
Fujian,19.95,11833,3516871,40526601
Gansu,11.99,1222,397701,3031098
Guangdong,48.94,66843,23097271,286714109
Guangxi,18.94,3217,905498,19808824
Guizhou,11.68,2231,550466,5752002
Hainan,4.87,512,117659,1265915
Hebei,33.52,8428,2626889,39231360
Heilongjiang,19.96,2677,696173,5026218
Henan,48.69,10385,3370816,61154137
Hubei,39.42,10450,4076507,67132019
Hunan,31.65,7632,3585267,80984709
Jiangsu,48.16,64029,19090345,280846698
Jiangxi,25.64,8371,2227922,31368046
Jilin,16.49,2470,1243953,26276146
Liaoning,26.35,6910,2391496,33872375
Nei Mongol,11.15,1509,727898,7796103
Ningxia Hui,2.94,1102,202032,2026821
Qinghai,1.41,126,62146,379404
Shaanxi,32.13,4506,1898166,12364855
Shandong,50.91,32952,12521655,163134209
Shanghai,13.26,15046,6227654,90334750
Shanxi,32.13,2206,689735,10850063
Sichuan,36.21,8846,2523694,30447284
Tianjin,13.79,10767,2856231,56428282
Xizang/ tibet,0.92,24,3630,78690
Xinjiang Uygu,7.37,1153,444784,4745506
Yunnan,15.24,3834,884333,6284487
Zhejiang,27.33,63124,10041634,213968302
